District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),Departure (%)
H,D.Palya,713.2,699.8,-2
H,Hosur,709.9,919.6,30
H,Manchenahalli,786.2,797.4,1
H,Nagaragere,695.4,885.2,27
H,Tondebavi,758.6,990.7,31
T,Gudibanda,694,728.3,5
H,Gudibanda,694,778.1,12
H,Somenahalli,728,675.4,-7
T,Sidlaghatta,763.5,665.6,-13
H,Sidlaghatta,763.5,663,-13
H,Bashattahalli,765.1,711.2,-7
H,Jangamakote,776,665,-14
H,Sadali,735.2,622,-15
D,TUMAKURU,669.2,1015.8,52
T,CHIKKANAYAKANAHALLI,760.7,1006.5,32
H,Chiknayakanahalli,760.7,1092.6,44
H,Handanakere,594.7,948.6,60
H,Huliyaru,504.1,997.2,98
H,Kandikere,609.7,1024.1,68
H,Shettikeri,700.2,1041.7,49
T,Gubbi,809.4,1147.4,42
H,Gubbi,809.4,1295.2,60
H,Chandrashekerapura,691.9,1002.9,45
H,Chelur,729.5,1161.4,59
H,Hagalavadi,655,1096.5,67
H,Kadaba,787.1,1143.7,45
H,Nittur,789.2,1149.4,46
T,Koratagere,778.8,1133.3,46
H,Koratagere,778.8,1194,53
H,Chennarayadurga,787.4,1107.4,41
H,Holanahalli,767.9,1198.6,56
H,Kolala,721.3,1055.9,46
T,Kunigal,824.9,931.5,13
H,Kunigal,824.9,951,15
H,Amrutur,675.4,920,36
H,Huliyurudurga,741.5,899.5,21
H,Huttariduraga,799.3,1071.2,34
H,Kottagere,752.4,985.6,31
H,Yedeyur,668.9,835.4,25
T,Madhugiri,730.3,1034.8,42
H,Madhugiri,730.3,1129.4,55
H,Dodderi,594.3,1084.7,83
H,Itakadibbanahalli,615.7,966.2,57
H,Kodigenahalli,631.6,911.5,44
H,Midigesi,553.4,1009.9,82
H,Puravara,673.6,1114.8,66
T,Pavagada,611.6,873.8,43
H,Pavagada,611.6,901.6,47
H,Nagalamadike,587.7,797.8,36
H,Nidagal,518,971.6,88
H,Yellappanayakana Hosakote,532,853.8,60
T,Sira,637.7,908.5,42
H,Sira,637.7,863.8,35
H,Bukkaptna,579.1,973.9,68
H,Gowdagere,580.6,750.1,29
H,Hulikunta,505.8,986.2,95
H,Kallambella,606,987.9,63
T,Tiptur,731.2,1019.5,39
H,Tiptur,731.2,951.8,30
H,Honnavalli,705.6,1010.5,43
H,Kibbanahalli,607.6,1085.6,79
H,Nonavinakere,719.8,1053.5,46
T,Tumakuru,830.8,1178.8,42
H,Tumakuru North,830.8,1244.5,50
H,Bellavi,788.1,1305.6,66
H,Guluru,869.3,1091.3,26
